"Date","Price","Open","High","Low","Vol.","Change %"
"07/07/2010","1,202.35","1,191.95","1,204.25","1,185.55","","0.68%"
"07/06/2010","1,194.25","1,209.40","1,215.25","1,191.30","","-1.22%"
"07/05/2010","1,208.95","1,211.10","1,215.35","1,206.55","","-0.22%"
"07/02/2010","1,211.60","1,197.00","1,223.35","1,197.00","","1.00%"
"07/01/2010","1,199.65","1,242.65","1,244.50","1,197.30","","-3.44%"
"06/30/2010","1,242.35","1,239.40","1,248.55","1,235.45","","0.11%"
"06/29/2010","1,240.95","1,237.10","1,245.30","1,227.35","","0.23%"
"06/28/2010","1,238.05","1,253.75","1,263.45","1,236.42","","-1.39%"
"06/25/2010","1,255.50","1,243.45","1,258.65","1,241.35","","0.88%"
"06/24/2010","1,244.55","1,235.00","1,248.35","1,228.25","","0.59%"
"06/23/2010","1,237.20","1,238.75","1,247.10","1,225.30","","-0.19%"
"06/22/2010","1,239.50","1,231.65","1,243.10","1,231.65","","0.60%"
"06/21/2010","1,232.15","1,259.10","1,265.40","1,230.95","","-2.00%"
"06/18/2010","1,257.35","1,245.30","1,262.90","1,242.00","","0.96%"
"06/17/2010","1,245.35","1,230.50","1,251.65","1,229.90","","1.12%"
"06/16/2010","1,231.60","1,233.95","1,238.65","1,227.80","","-0.23%"
"06/15/2010","1,234.45","1,221.30","1,237.35","1,220.30","","1.01%"
"06/14/2010","1,222.15","1,226.45","1,235.00","1,217.05","","-0.43%"
"06/11/2010","1,227.40","1,216.75","1,231.70","1,216.75","","0.79%"
"06/10/2010","1,217.80","1,231.25","1,234.25","1,215.15","","-1.18%"
"06/09/2010","1,232.35","1,235.10","1,242.50","1,223.75","","-0.27%"
"06/08/2010","1,235.63","1,240.65","1,252.20","1,233.85","","-0.36%"
"06/07/2010","1,240.05","1,219.15","1,245.35","1,211.15","","1.64%"
"06/04/2010","1,220.00","1,206.58","1,220.70","1,197.65","","0.99%"
"06/03/2010","1,208.05","1,223.20","1,224.95","1,201.15","","-1.29%"
"06/02/2010","1,223.85","1,225.60","1,227.95","1,214.65","","-0.12%"
"06/01/2010","1,225.30","1,216.10","1,231.20","1,215.05","","0.75%"
"05/31/2010","1,216.21","1,212.05","1,218.30","1,210.20","","0.12%"
